Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,FUET-1325,1,Buzzer,C391038
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C7, C8, C9",0402,66,100n,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",XL-1615_WS2812B,64,RGB_1516,C5349954
F1,0805,1,750mA,C269105
"H1, H2, H3",ToolingHole,3,Tooling,
J1,PinHeader_1x04_P2.54mm_Vertical,1,PWR_CONN,
J4,PinHeader_1x04_P2.54mm_Vertical,1,CAP_CONN,
R1,GT36528,1,Photoresistor,C2904881
R2,0603,1,10k,C31850
"R3, R4",0603,2,5.1k,C23186
"R5, R6, R7",0603,3,560k,C23203
TP1,TestPoint_Pad_D2.0mm,1,PC3,
TP2,TestPoint_Pad_D2.0mm,1,PC2,
TP3,TestPoint_Pad_D2.0mm,1,PC1,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,CH32V003F4U6,C5299908
