Designator,Mid X,Mid Y,Rotation,Layer
BZ1,12.1,61.5,90.0,top
C1,-23.875,46.875,90.0,top
C10,-13.625,40.625,270.0,top
C11,-11.375,40.625,90.0,top
C12,-1.125,40.625,270.0,top
C13,1.125,40.575,90.0,top
C14,11.375,40.575,270.0,top
C15,13.625,40.575,90.0,top
C16,23.875,40.575,270.0,top
C17,-23.875,34.375,90.0,top
C18,-13.625,34.375,270.0,top
C19,-11.375,34.375,90.0,top
C2,-13.625,46.875,270.0,top
C20,-1.125,34.375,270.0,top
C21,1.125,34.325,90.0,top
C22,11.375,34.325,270.0,top
C23,13.625,34.325,90.0,top
C24,23.875,34.325,270.0,top
C25,-23.875,28.125,90.0,top
C26,-13.625,28.125,270.0,top
C27,-11.375,28.125,90.0,top
C28,-1.125,28.125,270.0,top
C29,1.125,28.075,90.0,top
C3,-11.375,46.875,90.0,top
C30,11.375,28.075,270.0,top
C31,13.625,28.075,90.0,top
C32,23.875,28.075,270.0,top
C33,-23.875,21.875,90.0,top
C34,-13.625,21.875,270.0,top
C35,-11.375,21.875,90.0,top
C36,-1.125,21.875,270.0,top
C37,1.125,21.825,90.0,top
C38,11.375,21.825,270.0,top
C39,13.625,21.825,90.0,top
C4,-1.125,46.875,270.0,top
C40,23.875,21.825,270.0,top
C41,-23.875,15.625,90.0,top
C42,-13.625,15.625,270.0,top
C43,-11.375,15.625,90.0,top
C44,-1.125,15.625,270.0,top
C45,1.125,15.575,90.0,top
C46,11.375,15.575,270.0,top
C47,13.625,15.575,90.0,top
C48,23.875,15.575,270.0,top
C49,-23.875,9.375,90.0,top
C5,1.125,46.825,90.0,top
C50,-13.625,9.375,270.0,top
C51,-11.375,9.375,90.0,top
C52,-1.125,9.375,270.0,top
C53,1.125,9.325,90.0,top
C54,11.375,9.325,270.0,top
C55,13.625,9.325,90.0,top
C56,23.875,9.325,270.0,top
C57,-23.875,3.125,90.0,top
C58,-13.625,3.125,270.0,top
C59,-11.375,3.125,90.0,top
C6,11.375,46.825,270.0,top
C60,-1.125,3.125,270.0,top
C61,1.125,3.075,90.0,top
C62,11.375,3.075,270.0,top
C63,13.625,3.075,90.0,top
C64,23.875,3.075,270.0,top
C65,3.1,66.03,270.0,top
C66,4.6,66.03,270.0,top
C7,13.625,46.825,90.0,top
C8,23.875,46.825,270.0,top
C9,-23.875,40.625,90.0,top
D1,-21.875,46.875,180.0,top
D10,-15.625,40.625,0.0,top
D11,-9.375,40.625,180.0,top
D12,-3.125,40.625,0.0,top
D13,3.125,40.575,180.0,top
D14,9.375,40.575,0.0,top
D15,15.625,40.575,180.0,top
D16,21.875,40.575,0.0,top
D17,-21.875,34.375,180.0,top
D18,-15.625,34.375,0.0,top
D19,-9.375,34.375,180.0,top
D2,-15.625,46.875,0.0,top
D20,-3.125,34.375,0.0,top
D21,3.125,34.325,180.0,top
D22,9.375,34.325,0.0,top
D23,15.625,34.325,180.0,top
D24,21.875,34.325,0.0,top
D25,-21.875,28.125,180.0,top
D26,-15.625,28.125,0.0,top
D27,-9.375,28.125,180.0,top
D28,-3.125,28.125,0.0,top
D29,3.125,28.075,180.0,top
D3,-9.375,46.875,180.0,top
D30,9.375,28.075,0.0,top
D31,15.625,28.075,180.0,top
D32,21.875,28.075,0.0,top
D33,-21.875,21.875,180.0,top
D34,-15.625,21.875,0.0,top
D35,-9.375,21.875,180.0,top
D36,-3.125,21.875,0.0,top
D37,3.125,21.825,180.0,top
D38,9.375,21.825,0.0,top
D39,15.625,21.825,180.0,top
D4,-3.125,46.875,0.0,top
D40,21.875,21.825,0.0,top
D41,-21.875,15.625,180.0,top
D42,-15.625,15.625,0.0,top
D43,-9.375,15.625,180.0,top
D44,-3.125,15.625,0.0,top
D45,3.125,15.575,180.0,top
D46,9.375,15.575,0.0,top
D47,15.625,15.575,180.0,top
D48,21.875,15.575,0.0,top
D49,-21.875,9.375,180.0,top
D5,3.125,46.825,180.0,top
D50,-15.625,9.375,0.0,top
D51,-9.375,9.375,180.0,top
D52,-3.125,9.375,0.0,top
D53,3.125,9.325,180.0,top
D54,9.375,9.325,0.0,top
D55,15.625,9.325,180.0,top
D56,21.875,9.325,0.0,top
D57,-21.875,3.125,180.0,top
D58,-15.625,3.125,0.0,top
D59,-9.375,3.125,180.0,top
D6,9.375,46.825,0.0,top
D60,-3.125,3.125,0.0,top
D61,3.125,3.075,180.0,top
D62,9.375,3.075,0.0,top
D63,15.625,3.075,180.0,top
D64,21.875,3.075,0.0,top
D7,15.625,46.825,180.0,top
D8,21.875,46.825,0.0,top
D9,-21.875,40.625,180.0,top
F1,30.0,37.5,270.0,top
H1,0.0,-2.6,0.0,top
H2,-38.3,57.5,0.0,top
H3,38.3,57.6,0.0,top
J1,30.0,31.8,0.0,top
J4,-30.0,31.8,0.0,top
R1,0.0,75.0,180.0,top
R2,0.0,71.9,180.0,top
R3,30.0,20.4,0.0,top
R4,30.0,17.41,180.0,top
R5,-29.9,46.9,180.0,top
R6,-29.9,44.1,180.0,top
R7,-29.9,41.35,180.0,top
U1,0.0,67.85,90.0,top
